what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1386327556487
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1386327556488
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1386327556489
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1386327556490
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1386327556490
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1386327556491
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1386327556493
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1386327556494
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1386327556494
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1386327556495
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1386327556495
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1386327556496
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1386327556496
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1386327556497
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1386327556498
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1386327556498
started,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1386327556499
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1386327556499
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1386327556500
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1386327556501
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1386327556501
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1386327556501
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1386327556502
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1386327556503
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1386327556503
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1386327556504
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1386327556505
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1386327556506
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1386327556506
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1386327556507
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1386327556509
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1386327556509
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1386327556511
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1386327556512
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1386327556512
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1386327556514
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1386327556515
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1386327556515
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1386327556515
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1386327556515
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1386327556516
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1386327556517
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386327556518
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1386327556519
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1386327556520
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1386327556520
started,bundle,net.sf.redmine_mylyn.api,0.3.4.201112041651,"net.sf.redmine_mylyn.api",1386327556520
started,bundle,net.sf.redmine_mylyn.common,0.1.1.201112041651,"net.sf.redmine_mylyn.common",1386327556521
started,bundle,net.sf.redmine_mylyn.core,0.3.2.201112041651,"net.sf.redmine_mylyn.core",1386327556521
started,bundle,net.sf.redmine_mylyn.ui,0.3.2.201112041651,"net.sf.redmine_mylyn.ui",1386327556521
started,bundle,org.eclipse.equinox.log,1.2.200.v20110502,"org.eclipse.equinox.log",1386327556522
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1386327556524
os,sysinfo,,,"macosx",1386327556526
arch,sysinfo,,,"x86_64",1386327556526
ws,sysinfo,,,"cocoa",1386327556526
locale,sysinfo,,,"en_US",1386327556526
processors,sysinfo,,,"4",1386327556526
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386327556526
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1386327556526
java.specification.name,sysinfo,,,"Java Platform API Specification",1386327556526
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386327556526
java.specification.version,sysinfo,,,"1.6",1386327556526
java.vendor,sysinfo,,,"Apple Inc.",1386327556526
java.version,sysinfo,,,"1.6.0_51",1386327556526
java.vm.info,sysinfo,,,"mixed mode",1386327556526
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386327556526
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386327556526
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386327556526
java.vm.specification.version,sysinfo,,,"1.0",1386327556526
java.vm.vendor,sysinfo,,,"Apple Inc.",1386327556526
java.vm.version,sysinfo,,,"20.51-b01-457",1386327556526
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1386327556530
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1386327556554
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1386327557993
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1386327558038
activated,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1386327558039
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327573642
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1386327576035
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1386327576049
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1386327579770
started,bundle,org.eclipse.jdt.core,3.7.1.v_B76_R37x,"org.eclipse.jdt.core",1386327579868
started,bundle,org.eclipse.jdt.core.manipulation,1.4.0.v20110505-0800,"org.eclipse.jdt.core.manipulation",1386327579959
started,bundle,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui",1386327579965
started,bundle,org.eclipse.core.filebuffers,3.5.200.v20110505-0800,"org.eclipse.core.filebuffers",1386327579998
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1386327580163
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1386327580168
started,bundle,org.eclipse.pde.ui,3.6.100.v20110603,"org.eclipse.pde.ui",1386327580170
opened,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1386327580198
activated,view,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.PackageExplorer",1386327580245
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1386327581158
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327585686
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327586432
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327586562
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1386327586682
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386327587181
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1386327587184
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1386327587307
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1386327587310
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1386327587311
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1386327587315
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1386327587317
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1386327587318
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1386327587325
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1386327587325
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1386327587325
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1386327587325
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1386327587325
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1386327587325
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1386327587329
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1386327587339
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1386327587344
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1386327587352
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1386327597317
started,bundle,org.eclipse.osgi,3.7.1.R37x_v20110808-1106,"org.eclipse.osgi",1386327597318
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20110502-1955,"org.eclipse.equinox.simpleconfigurator",1386327597319
started,bundle,com.ibm.icu,4.4.2.v20110208,"com.ibm.icu",1386327597319
started,bundle,org.eclipse.core.contenttype,3.4.100.v20110423-0524,"org.eclipse.core.contenttype",1386327597319
started,bundle,org.eclipse.core.databinding.observable,1.4.0.I20110222-0800,"org.eclipse.core.databinding.observable",1386327597321
started,bundle,org.eclipse.core.expressions,3.4.300.v20110228,"org.eclipse.core.expressions",1386327597321
started,bundle,org.eclipse.core.jobs,3.5.100.v20110404,"org.eclipse.core.jobs",1386327597322
started,bundle,org.eclipse.core.net,1.2.100.I20110511-0800,"org.eclipse.core.net",1386327597322
started,bundle,org.eclipse.core.resources,3.7.100.v20110510-0712,"org.eclipse.core.resources",1386327597322
started,bundle,org.eclipse.core.runtime,3.7.0.v20110110,"org.eclipse.core.runtime",1386327597323
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1386327597324
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20110110,"org.eclipse.core.runtime.compatibility.auth",1386327597324
started,bundle,org.eclipse.epp.mpc.ui,1.1.1.I20110907-0947,"org.eclipse.epp.mpc.ui",1386327597325
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201106061540,"org.eclipse.epp.usagedata.gathering",1386327597325
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201106061540,"org.eclipse.epp.usagedata.recording",1386327597325
started,bundle,org.eclipse.equinox.app,1.3.100.v20110321,"org.eclipse.equinox.app",1386327597326
started,bundle,org.eclipse.equinox.common,3.6.0.v20110523,"org.eclipse.equinox.common",1386327597326
started,bundle,org.eclipse.equinox.ds,1.3.1.R37x_v20110701,"org.eclipse.equinox.ds",1386327597326
started,bundle,org.eclipse.equinox.event,1.2.100.v20110502,"org.eclipse.equinox.event",1386327597327
started,bundle,org.eclipse.equinox.p2.core,2.1.0.v20110502-1955,"org.eclipse.equinox.p2.core",1386327597327
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.300.v20110502-1955,"org.eclipse.equinox.p2.directorywatcher",1386327597327
started,bundle,org.eclipse.equinox.p2.engine,2.1.0.v20110511,"org.eclipse.equinox.p2.engine",1386327597328
started,bundle,org.eclipse.equinox.p2.metadata,2.1.0.v20110510,"org.eclipse.equinox.p2.metadata",1386327597329
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110511-1359,"org.eclipse.equinox.p2.metadata.repository",1386327597330
started,bundle,org.eclipse.equinox.p2.operations,2.1.0.v20110511-1821,"org.eclipse.equinox.p2.operations",1386327597332
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.100.v20110510,"org.eclipse.equinox.p2.reconciler.dropins",1386327597332
started,bundle,org.eclipse.equinox.p2.repository,2.1.0.v20110601,"org.eclipse.equinox.p2.repository",1386327597333
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110502-1955,"org.eclipse.equinox.p2.ui.sdk.scheduler",1386327597333
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110502-1955,"org.eclipse.equinox.p2.updatechecker",1386327597334
started,bundle,org.eclipse.equinox.preferences,3.4.1.R37x_v20110725,"org.eclipse.equinox.preferences",1386327597334
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1386327597335
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1386327597335
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1386327597335
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1386327597336
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1386327597336
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1386327597336
started,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1386327597337
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1386327597347
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1386327597354
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1386327597355
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1386327597355
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1386327597356
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1386327597356
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1386327597357
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1386327597357
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1386327597357
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1386327597358
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1386327597358
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1386327597359
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1386327597359
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1386327597360
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1386327597361
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1386327597361
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1386327597362
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1386327597363
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1386327597363
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1386327597364
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1386327597364
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1386327597365
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1386327597365
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1386327597367
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1386327597368
started,bundle,org.eclipse.wb.discovery.core,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.core",1386327597368
started,bundle,net.sf.redmine_mylyn.api,0.3.4.201112041651,"net.sf.redmine_mylyn.api",1386327597368
started,bundle,net.sf.redmine_mylyn.common,0.1.1.201112041651,"net.sf.redmine_mylyn.common",1386327597369
started,bundle,net.sf.redmine_mylyn.core,0.3.2.201112041651,"net.sf.redmine_mylyn.core",1386327597369
started,bundle,net.sf.redmine_mylyn.ui,0.3.2.201112041651,"net.sf.redmine_mylyn.ui",1386327597369
started,bundle,org.eclipse.equinox.log,1.2.200.v20110502,"org.eclipse.equinox.log",1386327597369
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.4.v20111117-0100,"org.eclipse.mylyn.tasks.ui",1386327597370
os,sysinfo,,,"macosx",1386327597373
arch,sysinfo,,,"x86_64",1386327597373
ws,sysinfo,,,"cocoa",1386327597373
locale,sysinfo,,,"en_US",1386327597373
processors,sysinfo,,,"4",1386327597373
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1386327597373
java.runtime.version,sysinfo,,,"1.6.0_51-b11-457-11M4509",1386327597373
java.specification.name,sysinfo,,,"Java Platform API Specification",1386327597373
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386327597373
java.specification.version,sysinfo,,,"1.6",1386327597373
java.vendor,sysinfo,,,"Apple Inc.",1386327597373
java.version,sysinfo,,,"1.6.0_51",1386327597373
java.vm.info,sysinfo,,,"mixed mode",1386327597373
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1386327597373
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1386327597373
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1386327597373
java.vm.specification.version,sysinfo,,,"1.0",1386327597373
java.vm.vendor,sysinfo,,,"Apple Inc.",1386327597373
java.vm.version,sysinfo,,,"20.51-b01-457",1386327597373
started,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1386327597377
started,bundle,org.eclipse.wb.discovery.ui,1.1.0.r37x201109091028,"org.eclipse.wb.discovery.ui",1386327597661
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1386327598722
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327612522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327617076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1386327617100
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327622907
started,bundle,org.eclipse.core.filesystem,1.3.100.v20110423-0524,"org.eclipse.core.filesystem",1386327634784
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327644263
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1386327644293
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327645279
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327646895
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1386327647024
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1386327647436
started,bundle,org.eclipse.compare,3.5.201.R37x_v20110817-0800,"org.eclipse.compare",1386327647440
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.100.20110804-1717,"org.eclipse.m2e.logback.configuration",1386327647552
stopped,bundle,org.eclipse.m2e.discovery,1.0.100.20110804-1717,"org.eclipse.m2e.discovery",1386327647553
stopped,bundle,org.eclipse.m2e.refactoring,1.0.100.20110804-1717,"org.eclipse.m2e.refactoring",1386327647554
stopped,bundle,org.eclipse.m2e.editor,1.0.100.20110804-1717,"org.eclipse.m2e.editor",1386327647554
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.100.20110804-1717,"org.eclipse.m2e.editor.xml",1386327647555
stopped,bundle,org.eclipse.m2e.jdt,1.0.100.20110804-1717,"org.eclipse.m2e.jdt",1386327647556
stopped,bundle,org.eclipse.m2e.launching,1.0.100.20110804-1717,"org.eclipse.m2e.launching",1386327647557
stopped,bundle,org.eclipse.m2e.usagedata,1.0.100.20110804-1717,"org.eclipse.m2e.usagedata",1386327647557
stopped,bundle,com.soyatec.database,3.7.1.20110624,"com.soyatec.database",1386327647557
stopped,bundle,com.soyatec.edepend,3.7.1.20110624,"com.soyatec.edepend",1386327647558
stopped,bundle,com.soyatec.eemf,3.7.1.20110624,"com.soyatec.eemf",1386327647558
stopped,bundle,com.soyatec.euml2,3.7.1.20110624,"com.soyatec.euml2",1386327647559
stopped,bundle,com.soyatec.project.diagram,3.7.1.20110624,"com.soyatec.project.diagram",1386327647559
stopped,bundle,com.soyatec.project,3.7.1.20110624,"com.soyatec.project",1386327647560
stopped,bundle,com.soyatec.additional,3.7.1.20110624,"com.soyatec.additional",1386327647570
stopped,bundle,com.soyatec.core,3.7.1.20110624,"com.soyatec.core",1386327647571
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20110516,"org.eclipse.pde.ua.ui",1386327647572
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1386327647572
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20110516,"org.eclipse.pde.ds.ui",1386327647573
stopped,bundle,org.eclipse.pde.runtime,3.4.201.v20110819-0851,"org.eclipse.pde.runtime",1386327647574
stopped,bundle,org.eclipse.pde.ui.templates,3.4.400.v20110516,"org.eclipse.pde.ui.templates",1386327647576
